"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"ydl211c","ydl211c","ORF","79294-80412","-","IV","ydl211c",-38.5728621323477
NA,NA,NA,NA,"hmg2","ylr450w","ORF","1032627-1035764","+","XII","ylr450w",-38.5788736189125
NA,NA,NA,NA,"bud26","ydr241w","ORF","945151-945438","+","IV","ydr241w",-38.5905313395896
NA,NA,NA,NA,"yal019w-a","yal019w-a","ORF","114250-114819","+","I","yal019w-a",-38.687626333169
NA,NA,NA,NA,"tok1","yjl093c","ORF","254737-256812","-","X","yjl093c",-38.9286005248062
NA,NA,NA,NA,"pdc6","ygr087c","ORF","651290-652981","-","VII","ygr087c",-38.990383015539
NA,NA,NA,NA,"grx5","ypl059w","ORF","444579-445031","+","XVI","ypl059w",-39.0161919045939
NA,NA,NA,NA,"yjl007c","yjl007c","ORF","422698-423012","-","X","yjl007c",-39.0224506142525
NA,NA,NA,NA,"saw1","yal027w","ORF","94687-95472","+","I","yal027w",-39.111674737149
NA,NA,NA,NA,"ydr521w","ydr521w","ORF","1483141-1483476","+","IV","ydr521w",-39.1156690113973
NA,NA,NA,NA,"rad23","yel037c","ORF","81407-82603","-","V","yel037c",-39.1176812994207
NA,NA,NA,NA,"bil1","yor304c-a","ORF","888520-888750","-","XV","yor304c-a",-39.2510903050223
NA,NA,NA,NA,"yth1","ypr107c","ORF","741438-742064","-","XVI","ypr107c",-39.3330723865948
NA,NA,NA,NA,"ndc1","yml031w","ORF","214189-216156","+","XIII","yml031w",-39.3607186921681
NA,NA,NA,NA,"cpr8","ynr028w","ORF","676177-677103","+","XIV","ynr028w",-39.4061612448039
NA,NA,NA,NA,"pug1","yer185w","ORF","559454-560365","+","V","yer185w",-39.4512013952414
NA,NA,NA,NA,"bsp1","ypr171w","ORF","883828-885558","+","XVI","ypr171w",-39.4589389412941
NA,NA,NA,NA,"ybr223w-a","ybr223w-a","ORF","668721-668840","+","II","ybr223w-a",-39.4603600077772
NA,NA,NA,NA,"rkm3","ybr030w","ORF","298292-299950","+","II","ybr030w",-39.4633590444894
NA,NA,NA,NA,"rvb2","ypl235w","ORF","103232-104647","+","XVI","ypl235w",-39.4957566755275
NA,NA,NA,NA,"dim1","ypl266w","ORF","39121-40077","+","XVI","ypl266w",-39.6399756212687
NA,NA,NA,NA,"bts1","ypl069c","ORF","422885-423892","-","XVI","ypl069c",-39.67498652177
NA,NA,NA,NA,"yaf9","ynl107w","ORF","420098-420778","+","XIV","ynl107w",-39.7228824995827
NA,NA,NA,NA,"yea6","yel006w","ORF","144327-145334","+","V","yel006w",-39.7341862770066
NA,NA,NA,NA,"lsm12","yhr121w","ORF","352756-353319","+","VIII","yhr121w",-39.7466598631627
NA,NA,NA,NA,"yel032c-a","yel032c-a","ORF","87040-87201","-","V","yel032c-a",-39.7928020489759
NA,NA,NA,NA,"flr1","ybr008c","ORF","252563-254209","-","II","ybr008c",-39.9938461884882
NA,NA,NA,NA,"yjr012c","yjr012c","ORF","459795-460418","-","X","yjr012c",-40.0511414917102
NA,NA,NA,NA,"otu2","yhl013c","ORF","77430-78353","-","VIII","yhl013c",-40.0853713214712
NA,NA,NA,NA,"stp1","ydr463w","ORF","1386816-1388375","+","IV","ydr463w",-40.0988071385754
NA,NA,NA,NA,"mnr2","ykl064w","ORF","317764-320673","+","XI","ykl064w",-40.1513233460513
NA,NA,NA,NA,"srp101","ydr292c","ORF","1043146-1045011","-","IV","ydr292c",-40.2646345933056
NA,NA,NA,NA,"utp20","ybl004w","ORF","227636-235117","+","II","ybl004w",-40.419691285917
"csg2",0,0,1,"csg2","ybr036c","ORF","309081-310313","-","II","ybr036c",-40.5392663409119
"ump1",0.5,0,0.5,"ump1","ybr173c","ORF","581726-582172","-","II","ybr173c",-40.5927122428111
NA,NA,NA,NA,"tad3","ylr316c","ORF","765266-766358","-","XII","ylr316c",-40.6274045497727
NA,NA,NA,NA,"vps45","ygl095c","ORF","328874-330607","-","VII","ygl095c",-40.7723111641692
"ctk1",0,0,1,"ctk1","ykl139w","ORF","182958-184544","+","XI","ykl139w",-40.7732264129856
"lsb1",0,1,0,"lsb1","ygr136w","ORF","762428-763153","+","VII","ygr136w",-40.8138553541594
NA,NA,NA,NA,"zim17","ynl310c","ORF","51907-52431","-","XIV","ynl310c",-40.9637893959169
NA,NA,NA,NA,"sft1","ykl006c-a","ORF","430198-430632","-","XI","ykl006c-a",-41.0825823783092
NA,NA,NA,NA,"sld5","ydr489w","ORF","1431012-1431896","+","IV","ydr489w",-41.1152494731607
NA,NA,NA,NA,"ydl041w","ydl041w","ORF","378102-378455","+","IV","ydl041w",-41.138107002742
NA,NA,NA,NA,"mvp1","ymr004w","ORF","274017-275552","+","XIII","ymr004w",-41.1821856669309
NA,NA,NA,NA,"afb1","ylr040c","ORF","228908-229582","-","XII","ylr040c",-41.3095409790209
NA,NA,NA,NA,"ygl132w","ygl132w","ORF","261580-261915","+","VII","ygl132w",-41.3393428640401
NA,NA,NA,NA,"ygl176c","ygl176c","ORF","171415-173079","-","VII","ygl176c",-41.4159646919624
NA,NA,NA,NA,"rim21","ynl294c","ORF","78659-80260","-","XIV","ynl294c",-41.4957675905537
NA,NA,NA,NA,"yhl046w-a","yhl046w-a","ORF","9981-10307","+","VIII","yhl046w-a",-41.7080072188668
NA,NA,NA,NA,"pds1","ydr113c","ORF","680496-681617","-","IV","ydr113c",-41.7178638330252
NA,NA,NA,NA,"yor316c-a","yor316c-a","ORF","907726-907935","-","XV","yor316c-a",-41.7365072165124
NA,NA,NA,NA,"gpb2","yal056w","ORF","39259-41901","+","I","yal056w",-42.0089094326899
NA,NA,NA,NA,"fyv4","yhr059w","ORF","220108-220500","+","VIII","yhr059w",-42.3027216038374
NA,NA,NA,NA,"yor111w","yor111w","ORF","530429-531127","+","XV","yor111w",-42.3561059750873
NA,NA,NA,NA,"ydr290w","ydr290w","ORF","1039370-1039699","+","IV","ydr290w",-42.4779540788277
NA,NA,NA,NA,"tri1","ymr233w","ORF","739185-739865","+","XIII","ymr233w",-42.5073952721861
NA,NA,NA,NA,"sma2","yml066c","ORF","140424-141533","-","XIII","yml066c",-42.5194652322908
NA,NA,NA,NA,"ost6","yml019w","ORF","233457-234455","+","XIII","yml019w",-42.6269999736073
NA,NA,NA,NA,"erp3","ydl018c","ORF","422833-423510","-","IV","ydl018c",-42.6399909156257
NA,NA,NA,NA,"dal2","yir029w","ORF","410807-411838","+","IX","yir029w",-42.786897148415
NA,NA,NA,NA,"vid27","ynl212w","ORF","247461-249809","+","XIV","ynl212w",-42.8326834295293
NA,NA,NA,NA,"ynl146c-a","ynl146c-a","ORF","351386-351580","-","XIV","ynl146c-a",-42.8437652042328
NA,NA,NA,NA,"elm1","ykl048c","ORF","347214-349136","-","XI","ykl048c",-42.8554706121965
NA,NA,NA,NA,"pap2","yol115w","ORF","101475-103229","+","XV","yol115w",-43.1813082931326
NA,NA,NA,NA,"hsh49","yor319w","ORF","912822-913463","+","XV","yor319w",-43.4324637643648
NA,NA,NA,NA,"yol029c","yol029c","ORF","269815-270420","-","XV","yol029c",-43.4790295061099
NA,NA,NA,NA,"jip5","ypr169w","ORF","878690-880168","+","XVI","ypr169w",-43.5238312089392
NA,NA,NA,NA,"ypr078c","ypr078c","ORF","697147-698265","-","XVI","ypr078c",-43.6137660033444
NA,NA,NA,NA,"atg27","yjl178c","ORF","89282-90097","-","X","yjl178c",-43.7051035983485
NA,NA,NA,NA,"arn2","yhl047c","ORF","8351-10213","-","VIII","yhl047c",-43.729362379013
NA,NA,NA,NA,"srm1","ygl097w","ORF","321782-323230","+","VII","ygl097w",-43.951473808211
NA,NA,NA,NA,"pgc1","ypl206c","ORF","162632-163597","-","XVI","ypl206c",-43.9544411256411
NA,NA,NA,NA,"aft2","ypl202c","ORF","168088-169338","-","XVI","ypl202c",-43.9791288802105
NA,NA,NA,NA,"yol037c","yol037c","ORF","256666-257019","-","XV","yol037c",-44.0774214085782
NA,NA,NA,NA,"pex11","yol147c","ORF","47933-48643","-","XV","yol147c",-44.082687623837
NA,NA,NA,NA,"oye3","ypl171c","ORF","226169-227371","-","XVI","ypl171c",-44.1190174107506
NA,NA,NA,NA,"gnt1","yor320c","ORF","913619-915094","-","XV","yor320c",-44.2122615729365
"cbs1",0,1,0,"cbs1","ydl069c","ORF","333121-333810","-","IV","ydl069c",-44.2557967920578
NA,NA,NA,NA,"ypl067c","ypl067c","ORF","425251-425847","-","XVI","ypl067c",-44.3603468740904
NA,NA,NA,NA,"esa1","yor244w","ORF","792531-793868","+","XV","yor244w",-44.4217291776202
NA,NA,NA,NA,"bli1","ykl061w","ORF","325771-326112","+","XI","ykl061w",-44.4577631306869
NA,NA,NA,NA,"ybr064w","ybr064w","ORF","367763-368191","+","II","ybr064w",-44.4682577695696
NA,NA,NA,NA,"pbp1","ygr178c","ORF","851047-853215","-","VII","ygr178c",-44.4961863011853
NA,NA,NA,NA,"rmd1","ydl001w","ORF","447984-449276","+","IV","ydl001w",-44.5474874552901
NA,NA,NA,NA,"spt14","ypl175w","ORF","218630-220088","+","XVI","ypl175w",-44.5512778805947
NA,NA,NA,NA,"ckb2","yor039w","ORF","405768-406544","+","XV","yor039w",-44.6352995335021
NA,NA,NA,NA,"tip41","ypr040w","ORF","647305-648375","+","XVI","ypr040w",-44.6832725451924
NA,NA,NA,NA,"taf3","ypl011c","ORF","533642-534703","-","XVI","ypl011c",-44.7296877480342
NA,NA,NA,NA,"yor170w","yor170w","ORF","651858-652163","+","XV","yor170w",-44.8119991044376
NA,NA,NA,NA,"ybr277c","ybr277c","ORF","760215-760616","-","II","ybr277c",-44.8131894473376
NA,NA,NA,NA,"ygr228w","ygr228w","ORF","949365-949709","+","VII","ygr228w",-44.8414923491053
NA,NA,NA,NA,"mhr1","ydr296w","ORF","1055212-1055892","+","IV","ydr296w",-44.8662008444506
NA,NA,NA,NA,"yhl006w-a","yhl006w-a","ORF","97732-98085","+","VIII","yhl006w-a",-44.8807520512503
NA,NA,NA,NA,"zrt2","ylr130c","ORF","402794-404062","-","XII","ylr130c",-45.0475717792444
NA,NA,NA,NA,"nfs1","ycl017c","ORF","92777-94270","-","III","ycl017c",-45.1189798376978
NA,NA,NA,NA,"elo2","ycr034w","ORF","190592-191635","+","III","ycr034w",-45.1574056110568
"nfu1",0,0,1,"nfu1","ykl040c","ORF","361058-361828","-","XI","ykl040c",-45.1716368122757
NA,NA,NA,NA,"ylf2","yhl014c","ORF","76097-77314","-","VIII","yhl014c",-45.1992004624897
NA,NA,NA,NA,"ymr187c","ymr187c","ORF","634689-635984","-","XIII","ymr187c",-45.2232984305097
NA,NA,NA,NA,"msn1","yol116w","ORF","99809-100957","+","XV","yol116w",-45.2578004957879
NA,NA,NA,NA,"ykl183c-a","ykl183c-a","ORF","98395-98607","-","XI","ykl183c-a",-45.3185086015931
"pfa3",0,0,1,"pfa3","ynl326c","ORF","27337-28347","-","XIV","ynl326c",-45.394379903345
"ydr248c",0,1,0,"ydr248c","ydr248c","ORF","957758-958339","-","IV","ydr248c",-45.5300337811414
NA,NA,NA,NA,"cdc11","yjr076c","ORF","575354-576601","-","X","yjr076c",-45.597572701989
NA,NA,NA,NA,"mcx1","ybr227c","ORF","673572-675134","-","II","ybr227c",-45.6044277808836
NA,NA,NA,NA,"stn1","ydr082w","ORF","610441-611925","+","IV","ydr082w",-45.6242417919692
NA,NA,NA,NA,"prp9","ydl030w","ORF","397537-399129","+","IV","ydl030w",-45.7008028768444
NA,NA,NA,NA,"apd1","ybr151w","ORF","545028-545978","+","II","ybr151w",-45.7558152708011
NA,NA,NA,NA,"tos2","ygr221c","ORF","937124-938992","-","VII","ygr221c",-45.7764782434859
NA,NA,NA,NA,"ecm7","ylr443w","ORF","1022625-1023971","+","XII","ylr443w",-45.9164139383481
NA,NA,NA,NA,"ngl2","ymr285c","ORF","840144-841691","-","XIII","ymr285c",-45.9199051172728
NA,NA,NA,NA,"nsg1","yhr133c","ORF","370722-371597","-","VIII","yhr133c",-45.9846312685657
NA,NA,NA,NA,"rtt103","ydr289c","ORF","1038280-1039509","-","IV","ydr289c",-46.0037836515339
NA,NA,NA,NA,"dib1","ypr082c","ORF","704225-704656","-","XVI","ypr082c",-46.0970342258633
NA,NA,NA,NA,"pex4","ygr133w","ORF","756896-757447","+","VII","ygr133w",-46.1124581494262
NA,NA,NA,NA,"ynl122c","ynl122c","ORF","398023-398370","-","XIV","ynl122c",-46.1324289883061
NA,NA,NA,NA,"lem3","ynl323w","ORF","31944-33188","+","XIV","ynl323w",-46.156092948541
NA,NA,NA,NA,"emp47","yfl048c","ORF","38843-40180","-","VI","yfl048c",-46.1769046150877
NA,NA,NA,NA,"isc10","yer180c","ORF","549724-550527","-","V","yer180c",-46.2072823384104
"gal80",0,0,1,"gal80","yml051w","ORF","171594-172901","+","XIII","yml051w",-46.2774777562568
NA,NA,NA,NA,"rfa3","yjl173c","ORF","96161-96529","-","X","yjl173c",-46.4780429892761
"aat1",1,0,0,"aat1","ykl106w","ORF","237536-238891","+","XI","ykl106w",-46.4965072838303
"tvp23",0,0,1,"tvp23","ydr084c","ORF","613405-614004","-","IV","ydr084c",-46.5357183657553
NA,NA,NA,NA,"arp6","ylr085c","ORF","300673-301989","-","XII","ylr085c",-46.6947311041575
NA,NA,NA,NA,"yps7","ydr349c","ORF","1172386-1174176","-","IV","ydr349c",-46.7197694854053
NA,NA,NA,NA,"npy1","ygl067w","ORF","376101-377255","+","VII","ygl067w",-46.843505193476
NA,NA,NA,NA,"rhb1","ycr027c","ORF","167370-167999","-","III","ycr027c",-46.9405034100283
"set3",0,0,1,"set3","ykr029c","ORF","497578-499833","-","XI","ykr029c",-47.0677055796863
NA,NA,NA,NA,"dpb3","ybr278w","ORF","760294-760899","+","II","ybr278w",-47.118436808158
NA,NA,NA,NA,"aim25","yjr100c","ORF","616351-617334","-","X","yjr100c",-47.1693852485065
NA,NA,NA,NA,"ynl226w","ynl226w","ORF","222239-222649","+","XIV","ynl226w",-47.1856286607836
NA,NA,NA,NA,"yhr045w","yhr045w","ORF","195551-197233","+","VIII","yhr045w",-47.204942255599
NA,NA,NA,NA,"yjl156w-a","yjl156w-a","ORF","126604-126825","+","X","yjl156w-a",-47.2157071111435
NA,NA,NA,NA,"nbp1","ylr457c","ORF","1055812-1056771","-","XII","ylr457c",-47.3562294488788
NA,NA,NA,NA,"ypl182c","ypl182c","ORF","203306-203689","-","XVI","ypl182c",-47.4181728782548
NA,NA,NA,NA,"cia1","ydr267c","ORF","1002510-1003502","-","IV","ydr267c",-47.4288058921678
NA,NA,NA,NA,"fra2","ygl220w","ORF","82374-82736","+","VII","ygl220w",-47.4490715700739
NA,NA,NA,NA,"pso2","ymr137c","ORF","542978-544963","-","XIII","ymr137c",-47.5001957872808
NA,NA,NA,NA,"loh1","yjl038c","ORF","375115-375774","-","X","yjl038c",-47.6136569317249
"mss116",0,0,1,"mss116","ydr194c","ORF","845952-847946","-","IV","ydr194c",-47.6989979650072
NA,NA,NA,NA,"yll053c","yll053c","ORF","35503-35961","-","XII","yll053c",-47.7539620783616
NA,NA,NA,NA,"ybr219c","ybr219c","ORF","662499-663303","-","II","ybr219c",-47.7804464767833
NA,NA,NA,NA,"jjj1","ynl227c","ORF","220659-222431","-","XIV","ynl227c",-47.9334131343265
NA,NA,NA,NA,"rtt106","ynl206c","ORF","256788-258155","-","XIV","ynl206c",-48.0163962754408
NA,NA,NA,NA,"mud1","ybr119w","ORF","479338-480323","+","II","ybr119w",-48.1575611791435
NA,NA,NA,NA,"ydr090c","ydr090c","ORF","625066-625998","-","IV","ydr090c",-48.1819750209607
NA,NA,NA,NA,"yjl197c-a","yjl197c-a","ORF","65805-66086","-","X","yjl197c-a",-48.2424319926418
NA,NA,NA,NA,"csm3","ymr048w","ORF","366981-367934","+","XIII","ymr048w",-48.2824452997311
NA,NA,NA,NA,"svp26","yhr181w","ORF","467228-467914","+","VIII","yhr181w",-48.651562316938
NA,NA,NA,NA,"ygr016w","ygr016w","ORF","522261-522833","+","VII","ygr016w",-48.66679618214
NA,NA,NA,NA,"atp14","ylr295c","ORF","721999-722373","-","XII","ylr295c",-48.9375724447656
NA,NA,NA,NA,"ydl144c","ydl144c","ORF","198662-199732","-","IV","ydl144c",-49.107659904324
"pph3",0,0,1,"pph3","ydr075w","ORF","597156-598082","+","IV","ydr075w",-49.2414715373408
"mca1",1,0,0,"mca1","yor197w","ORF","717086-718384","+","XV","yor197w",-49.388335261297
NA,NA,NA,NA,"pno1","yor145c","ORF","605347-606171","-","XV","yor145c",-49.4952201986507
NA,NA,NA,NA,"ies3","ylr052w","ORF","247201-247953","+","XII","ylr052w",-49.603664927223
NA,NA,NA,NA,"ydl176w","ydl176w","ORF","142097-144223","+","IV","ydl176w",-49.7291276199079
NA,NA,NA,NA,"bos1","ylr078c","ORF","285736-286559","-","XII","ylr078c",-49.8568295853336
NA,NA,NA,NA,"rpn6","ydl097c","ORF","285391-286695","-","IV","ydl097c",-49.8651646366141
NA,NA,NA,NA,"bud31","ycr063w","ORF","228318-228791","+","III","ycr063w",-49.9025167120723
NA,NA,NA,NA,"slf1","ydr515w","ORF","1473429-1474772","+","IV","ydr515w",-49.9776784136125
NA,NA,NA,NA,"ykr070w","ykr070w","ORF","573574-574632","+","XI","ykr070w",-50.0988983887664
NA,NA,NA,NA,"tfg1","ygr186w","ORF","867774-869981","+","VII","ygr186w",-50.3588837798061
NA,NA,NA,NA,"kel2","ygr238c","ORF","966039-968687","-","VII","ygr238c",-50.4560085525254
NA,NA,NA,NA,"rfc2","yjr068w","ORF","567643-568704","+","X","yjr068w",-50.4696364485662
NA,NA,NA,NA,"yjl127w-a","yjl127w-a","ORF","180194-180310","+","X","yjl127w-a",-50.5864132657695
NA,NA,NA,NA,"snu56","ydr240c","ORF","943674-945152","-","IV","ydr240c",-50.7193216938467
NA,NA,NA,NA,"yml031c-a","yml031c-a","ORF","214086-214421","-","XIII","yml031c-a",-50.745891585906
NA,NA,NA,NA,"acm1","ypl267w","ORF","38169-38798","+","XVI","ypl267w",-50.7560535663524
NA,NA,NA,NA,"ccl1","ypr025c","ORF","613377-614558","-","XVI","ypr025c",-50.9041544211897
"dbf2",0,0,1,"dbf2","ygr092w","ORF","668189-669907","+","VII","ygr092w",-50.907209949539
NA,NA,NA,NA,"mgr3","ymr115w","ORF","497704-499209","+","XIII","ymr115w",-50.9195833355063
NA,NA,NA,NA,"hrt1","yol133w","ORF","70325-70690","+","XV","yol133w",-50.9616996700479
"rad57",0,0,1,"rad57","ydr004w","ORF","455201-456583","+","IV","ydr004w",-51.0143306629179
NA,NA,NA,NA,"rfm1","yor279c","ORF","843698-844630","-","XV","yor279c",-51.0197728358641
NA,NA,NA,NA,"ymc1","ypr058w","ORF","673751-674674","+","XVI","ypr058w",-51.047406720759
NA,NA,NA,NA,"ptc1","ydl006w","ORF","439909-440754","+","IV","ydl006w",-51.0755163468952
NA,NA,NA,NA,"ylr053c","ylr053c","ORF","248100-248426","-","XII","ylr053c",-51.19917848961
"rsm24",0,0,1,"rsm24","ydr175c","ORF","813193-814152","-","IV","ydr175c",-51.2465093158011
NA,NA,NA,NA,"ynl165w","ynl165w","ORF","323832-325052","+","XIV","ynl165w",-51.2527644279915
"sif2",0,0,1,"sif2","ybr103w","ORF","447709-449316","+","II","ybr103w",-51.3917134760915
NA,NA,NA,NA,"ykr047w","ykr047w","ORF","525257-525562","+","XI","ykr047w",-51.4007152737396
NA,NA,NA,NA,"ykl118w","ykl118w","ORF","219126-219437","+","XI","ykl118w",-51.493495065271
NA,NA,NA,NA,"mnt3","yil014w","ORF","326103-327995","+","IX","yil014w",-51.5005264463542
NA,NA,NA,NA,"yhb1","ygr234w","ORF","959904-961103","+","VII","ygr234w",-51.5008897009419
NA,NA,NA,NA,"bud13","ygl174w","ORF","174545-175345","+","VII","ygl174w",-51.6256180323962
NA,NA,NA,NA,"mrpl19","ynl185c","ORF","292193-292669","-","XIV","ynl185c",-51.6691275751675
NA,NA,NA,NA,"gep7","ygl057c","ORF","394966-395829","-","VII","ygl057c",-51.7740295903147
NA,NA,NA,NA,"pci8","yil071c","ORF","228660-229994","-","IX","yil071c",-52.0664880054705
NA,NA,NA,NA,"ykr018c","ykr018c","ORF","473723-475900","-","XI","ykr018c",-52.2135658447553
NA,NA,NA,NA,"yhl002c-a","yhl002c-a","ORF","102587-103075","-","VIII","yhl002c-a",-52.3754380273841
NA,NA,NA,NA,"ydl162c","ydl162c","ORF","167359-167715","-","IV","ydl162c",-52.3931417417093
NA,NA,NA,NA,"pex3","ydr329c","ORF","1126270-1127595","-","IV","ydr329c",-52.4218893064996
NA,NA,NA,NA,"ysf3","ynl138w-a","ORF","366033-366412","+","XIV","ynl138w-a",-52.504165979501
NA,NA,NA,NA,"ynl184c","ynl184c","ORF","292557-292883","-","XIV","ynl184c",-52.7308430600692
NA,NA,NA,NA,"ctk2","yjl006c","ORF","423138-424109","-","X","yjl006c",-52.8169291427529
NA,NA,NA,NA,"urn1","ypr152c","ORF","832061-833458","-","XVI","ypr152c",-52.876609613013
NA,NA,NA,NA,"ydl068w","ydl068w","ORF","333500-333829","+","IV","ydl068w",-52.8866688059004
NA,NA,NA,NA,"prp5","ybr237w","ORF","691969-694518","+","II","ybr237w",-53.0473398985087
NA,NA,NA,NA,"sup35","ydr172w","ORF","808324-810381","+","IV","ydr172w",-53.0807046975941
NA,NA,NA,NA,"ies2","ynl215w","ORF","244468-245430","+","XIV","ynl215w",-53.1496026737306
NA,NA,NA,NA,"vps4","ypr173c","ORF","886524-887837","-","XVI","ypr173c",-53.1705983529688
NA,NA,NA,NA,"coq2","ynr041c","ORF","700541-701659","-","XIV","ynr041c",-53.4649304922095
NA,NA,NA,NA,"irc21","ymr073c","ORF","412268-412873","-","XIII","ymr073c",-53.5170110977161
NA,NA,NA,NA,"tfb5","ydr079c-a","ORF","603593-603811","-","IV","ydr079c-a",-53.8153754822485
NA,NA,NA,NA,"hua2","yor284w","ORF","848478-849209","+","XV","yor284w",-53.8629198017589
NA,NA,NA,NA,"yfr035c","yfr035c","ORF","226121-226465","-","VI","yfr035c",-53.9221327896184
NA,NA,NA,NA,"ypl039w","ypl039w","ORF","479225-480175","+","XVI","ypl039w",-54.1633169385394
NA,NA,NA,NA,"yjr141w","yjr141w","ORF","695906-696949","+","X","yjr141w",-54.249034527454
NA,NA,NA,NA,"prp38","ygr075c","ORF","636147-636875","-","VII","ygr075c",-54.2718580225829
NA,NA,NA,NA,"sna2","ydr525w-a","ORF","1490596-1490835","+","IV","ydr525w-a",-54.358252215855
NA,NA,NA,NA,"tyw3","ygl050w","ORF","405776-406597","+","VII","ygl050w",-54.3651577917858
NA,NA,NA,NA,"ngl1","yol042w","ORF","249825-250916","+","XV","yol042w",-54.4269182533469
NA,NA,NA,NA,"atx1","ynl259c","ORF","157644-157865","-","XIV","ynl259c",-54.6064284177985
NA,NA,NA,NA,"rpl36b","ypl249c-a","ORF","75699-76239","-","XVI","ypl249c-a",-54.7364815198549
NA,NA,NA,NA,"rds3","ypr094w","ORF","720637-720960","+","XVI","ypr094w",-54.7733410910256
NA,NA,NA,NA,"pml1","ylr016c","ORF","176802-177416","-","XII","ylr016c",-54.974117588035
NA,NA,NA,NA,"ynr048w","ynr048w","ORF","711630-712811","+","XIV","ynr048w",-55.1221477828049
NA,NA,NA,NA,"cdc4","yfl009w","ORF","116145-118484","+","VI","yfl009w",-55.2258819303534
"apt1",0,1,0,"apt1","yml022w","ORF","228937-229500","+","XIII","yml022w",-55.328618062748
NA,NA,NA,NA,"mrx10","ydr282c","ORF","1023511-1024755","-","IV","ydr282c",-55.3720923606802
NA,NA,NA,NA,"ypl071c","ypl071c","ORF","420048-420518","-","XVI","ypl071c",-55.5506746696184
NA,NA,NA,NA,"poa1","ybr022w","ORF","283738-284271","+","II","ybr022w",-55.5947531272573
NA,NA,NA,NA,"oca2","ynl056w","ORF","517249-517842","+","XIV","ynl056w",-55.6267556808504
NA,NA,NA,NA,"alr1","yol130w","ORF","74400-76979","+","XV","yol130w",-55.7420275454187
NA,NA,NA,NA,"mad3","yjl013c","ORF","409493-411040","-","X","yjl013c",-55.7438395425982
NA,NA,NA,NA,"zap1","yjl056c","ORF","330431-333073","-","X","yjl056c",-55.7592494445591
NA,NA,NA,NA,"ura2","yjl130c","ORF","165723-172367","-","X","yjl130c",-55.9349001000537
"pcl7",0,1,0,"pcl7","yil050w","ORF","258913-259770","+","IX","yil050w",-56.0286021593011
NA,NA,NA,NA,"anp1","yel036c","ORF","83050-84552","-","V","yel036c",-56.1400174015435
NA,NA,NA,NA,"zrc1","ymr243c","ORF","754838-756166","-","XIII","ymr243c",-56.1569344912637
NA,NA,NA,NA,"pef1","ygr058w","ORF","606136-607143","+","VII","ygr058w",-56.1989518605652
NA,NA,NA,NA,"ubp10","ynl186w","ORF","289498-291876","+","XIV","ynl186w",-56.204743080002
NA,NA,NA,NA,"pdr8","ylr266c","ORF","675619-677724","-","XII","ylr266c",-56.3017217158785
NA,NA,NA,NA,"gcd6","ydr211w","ORF","884727-886865","+","IV","ydr211w",-56.3342375639769
NA,NA,NA,NA,"cog2","ygr120c","ORF","730033-730821","-","VII","ygr120c",-56.3747141629618
NA,NA,NA,NA,"aim46","yhr199c","ORF","497490-498422","-","VIII","yhr199c",-56.4290807359832
NA,NA,NA,NA,"yjr098c","yjr098c","ORF","613186-615156","-","X","yjr098c",-56.5152524593752
NA,NA,NA,NA,"nus1","ydl193w","ORF","114672-115799","+","IV","ydl193w",-56.5575355281137
"ypq1",0,0,1,"ypq1","yol092w","ORF","144204-145130","+","XV","yol092w",-56.6541291437721
NA,NA,NA,NA,"ypl035c","ypl035c","ORF","486564-486911","-","XVI","ypl035c",-56.6816880943162
NA,NA,NA,NA,"deg1","yfl001w","ORF","147131-148459","+","VI","yfl001w",-56.7247488360847
NA,NA,NA,NA,"sec13","ylr208w","ORF","559551-560444","+","XII","ylr208w",-56.8285840518868
NA,NA,NA,NA,"yhr071c-a","yhr071c-a","ORF","238910-239230","-","VIII","yhr071c-a",-56.95759742294
NA,NA,NA,NA,"sen2","ylr105c","ORF","347047-348180","-","XII","ylr105c",-57.1271959590457
NA,NA,NA,NA,"pex28","yhr150w","ORF","397251-398990","+","VIII","yhr150w",-57.1909465150046
NA,NA,NA,NA,"ynl035c","ynl035c","ORF","568522-569691","-","XIV","ynl035c",-57.2287173350399
NA,NA,NA,NA,"dxo1","ydr370c","ORF","1217782-1219110","-","IV","ydr370c",-57.2519595879154
"vta1",0,0,1,"vta1","ylr181c","ORF","516678-517670","-","XII","ylr181c",-57.2964977775292
NA,NA,NA,NA,"tfb2","ypl122c","ORF","319226-320767","-","XVI","ypl122c",-57.3931064537572
NA,NA,NA,NA,"mnn11","yjl183w","ORF","84068-85336","+","X","yjl183w",-57.4431101752991
NA,NA,NA,NA,"sec20","ydr498c","ORF","1445843-1446994","-","IV","ydr498c",-57.5459561035472
NA,NA,NA,NA,"hmf1","yer057c","ORF","270737-271126","-","V","yer057c",-57.6634218786005
NA,NA,NA,NA,"yhr180w","yhr180w","ORF","465178-465669","+","VIII","yhr180w",-57.8884347832427
NA,NA,NA,NA,"ear1","ymr171c","ORF","603868-605520","-","XIII","ymr171c",-57.9023207834577
NA,NA,NA,NA,"ygl194c-a","ygl194c-a","ORF","139719-139961","-","VII","ygl194c-a",-57.9230395038391
NA,NA,NA,NA,"him1","ydr317w","ORF","1102184-1103428","+","IV","ydr317w",-58.061253273484
"skn7",0,0,1,"skn7","yhr206w","ORF","512732-514600","+","VIII","yhr206w",-58.4395059417122
