"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"ysa1","ybr111c","ORF","461178-461873","-","II","ybr111c",40.3717782758107,65.5073101021509
NA,NA,NA,NA,"asn2","ygr124w","ORF","739944-741662","+","VII","ygr124w",40.4160863749635,-23.7323548886573
NA,NA,NA,NA,"pcm1","yel058w","ORF","43252-44925","+","V","yel058w",40.4551166061645,6.91550847530559
NA,NA,NA,NA,"yjr120w","yjr120w","ORF","647126-647476","+","X","yjr120w",40.4947459589766,17.9027401682011
NA,NA,NA,NA,"ypl261c","ypl261c","ORF","48996-49304","-","XVI","ypl261c",40.4976590421796,-39.4400951197873
NA,NA,NA,NA,"pro1","ydr300c","ORF","1061505-1062791","-","IV","ydr300c",40.5139508121689,-78.7782733857048
NA,NA,NA,NA,"prs5","yol061w","ORF","212244-213734","+","XV","yol061w",40.5339120966585,-103.232185470502
NA,NA,NA,NA,"ypk3","ybr028c","ORF","294425-296002","-","II","ybr028c",40.6204148294095,-62.0950207258696
NA,NA,NA,NA,"pau17","yll025w","ORF","94747-95121","+","XII","yll025w",40.6244710388063,-51.1222975417031
NA,NA,NA,NA,"cdc12","yhr107c","ORF","326813-328036","-","VIII","yhr107c",40.6908268361371,-65.8389614550421
NA,NA,NA,NA,"csr1","ylr380w","ORF","878282-879508","+","XII","ylr380w",40.7268240538621,-42.0140216912128
NA,NA,NA,NA,"arb1","yer036c","ORF","223367-225199","-","V","yer036c",40.8219556353635,-342.883776925412
NA,NA,NA,NA,"mvb12","ygr206w","ORF","910432-910737","+","VII","ygr206w",40.9486017304768,-34.0690497204246
NA,NA,NA,NA,"mrps18","ynl306w","ORF","58155-58808","+","XIV","ynl306w",40.9579810079798,15.9204356063791
"vps20",0,0,1,"vps20","ymr077c","ORF","421484-422149","-","XIII","ymr077c",41.1119990919584,-51.7737932066822
NA,NA,NA,NA,"rsc4","ykr008w","ORF","452201-454078","+","XI","ykr008w",41.1873366967454,-51.2446379023828
NA,NA,NA,NA,"krr1","ycl059c","ORF","22429-23379","-","III","ycl059c",41.2586496574148,-119.211500940941
NA,NA,NA,NA,"bye1","ykl005c","ORF","433093-434877","-","XI","ykl005c",41.2624251377451,-21.848353503433
NA,NA,NA,NA,"dcp1","yol149w","ORF","44938-45633","+","XV","yol149w",41.3875177707396,-71.0766178747996
NA,NA,NA,NA,"irc21","ymr073c","ORF","412268-412873","-","XIII","ymr073c",41.4967070932961,-12.02030400442
"vam3",0,0,1,"vam3","yor106w","ORF","519121-519972","+","XV","yor106w",41.5064202326581,-36.853100561571
NA,NA,NA,NA,"nbp35","ygl091c","ORF","342056-343042","-","VII","ygl091c",41.5459546304737,-31.5313524102445
"npl3",0,0,1,"npl3","ydr432w","ORF","1328783-1330027","+","IV","ydr432w",41.65656612271,-90.7807002625878
NA,NA,NA,NA,"ymr245w","ymr245w","ORF","758563-759183","+","XIII","ymr245w",41.7639525526993,-28.4870151204633
NA,NA,NA,NA,"ykl070w","ykl070w","ORF","306211-306720","+","XI","ykl070w",41.8034139999977,-46.5705754435938
NA,NA,NA,NA,"eps1","yil005w","ORF","345692-347797","+","IX","yil005w",41.8175812318073,-23.7995761243235
NA,NA,NA,NA,"nus1","ydl193w","ORF","114672-115799","+","IV","ydl193w",41.8605796708269,-14.6969558572868
NA,NA,NA,NA,"pop4","ybr257w","ORF","728885-729724","+","II","ybr257w",41.8853309702546,-69.2483528087497
NA,NA,NA,NA,"gep4","yhr100c","ORF","314116-314673","-","VIII","yhr100c",41.9072044539112,-26.1392404828437
NA,NA,NA,NA,"ypl071c","ypl071c","ORF","420048-420518","-","XVI","ypl071c",41.9208797166718,-13.6297949529466
NA,NA,NA,NA,"cdc40","ydr364c","ORF","1202843-1204210","-","IV","ydr364c",42.024782488168,-48.6213682473998
NA,NA,NA,NA,"dal3","yir032c","ORF","415030-415617","-","IX","yir032c",42.0820646495364,-63.7142116002159
NA,NA,NA,NA,"srp54","ypr088c","ORF","711403-713028","-","XVI","ypr088c",42.182303305918,-57.0613563877907
NA,NA,NA,NA,"bna1","yjr025c","ORF","471138-471671","-","X","yjr025c",42.3934991143196,45.5543219395781
NA,NA,NA,NA,"ypr002c-a","ypr002c-a","ORF","560569-560766","-","XVI","ypr002c-a",42.4127066207067,-39.9549250985422
NA,NA,NA,NA,"pdx1","ygr193c","ORF","884509-885741","-","VII","ygr193c",42.4865923969825,-20.0314223791083
NA,NA,NA,NA,"dal80","ykr034w","ORF","506898-507707","+","XI","ykr034w",42.6638121629618,-27.4889915059596
NA,NA,NA,NA,"yor389w","yor389w","ORF","1074213-1076087","+","XV","yor389w",42.6731888940717,-48.0823051521104
NA,NA,NA,NA,"cdc37","ydr168w","ORF","790328-791848","+","IV","ydr168w",42.7134328895545,-34.2345350268747
NA,NA,NA,NA,"fmp32","yfl046w","ORF","42815-43438","+","VI","yfl046w",42.7822212834995,-29.1472504116364
NA,NA,NA,NA,"grx4","yer174c","ORF","538434-539168","-","V","yer174c",42.7832820911552,-54.2281522873111
NA,NA,NA,NA,"aim25","yjr100c","ORF","616351-617334","-","X","yjr100c",42.9473704536749,-4.22201479483159
NA,NA,NA,NA,"ygr219w","ygr219w","ORF","936035-936376","+","VII","ygr219w",42.9895016785642,-24.7260482476301
"adk1",0,0,1,"adk1","ydr226w","ORF","916486-917154","+","IV","ydr226w",43.018200265935,-92.5671533966541
NA,NA,NA,NA,"cue5","yor042w","ORF","408425-409660","+","XV","yor042w",43.0934177539103,8.75294858905257
NA,NA,NA,NA,"mrpl25","ygr076c","ORF","637104-637577","-","VII","ygr076c",43.1606333417548,-38.5911900378927
NA,NA,NA,NA,"amd2","ydr242w","ORF","946807-948456","+","IV","ydr242w",43.1970606165803,-25.2605150841828
NA,NA,NA,NA,"arl3","ypl051w","ORF","459963-460559","+","XVI","ypl051w",43.2892696203807,-59.5549829217252
NA,NA,NA,NA,"clf1","ylr117c","ORF","382471-384534","-","XII","ylr117c",43.3559200372631,-40.936611590664
NA,NA,NA,NA,"blm10","yfl007w","ORF","123479-129910","+","VI","yfl007w",43.4271560420289,-36.2175306865439
NA,NA,NA,NA,"mrp21","ybl090w","ORF","48825-49358","+","II","ybl090w",43.4314734040949,-37.5511534781962
NA,NA,NA,NA,"ygr051c","ygr051c","ORF","592906-593229","-","VII","ygr051c",43.4333717147238,-38.4058600272795
NA,NA,NA,NA,"yml108w","yml108w","ORF","54793-55110","+","XIII","yml108w",43.475191444417,-141.712010940608
"rrd2",0,0,1,"rrd2","ypl152w","ORF","265028-266104","+","XVI","ypl152w",43.5073772134378,-32.7836144373147
NA,NA,NA,NA,"sft1","ykl006c-a","ORF","430198-430632","-","XI","ykl006c-a",43.6149720517414,2.53238967343219
NA,NA,NA,NA,"ies2","ynl215w","ORF","244468-245430","+","XIV","ynl215w",43.6820306440196,-9.46757202971103
NA,NA,NA,NA,"yil071w-a","yil071w-a","ORF","228550-229026","+","IX","yil071w-a",43.8900661599659,-34.6836470315299
NA,NA,NA,NA,"rdi1","ydl135c","ORF","218680-219288","-","IV","ydl135c",43.9404819052412,-20.4453486283665
"bem1",0,0,1,"bem1","ybr200w","ORF","620872-622527","+","II","ybr200w",43.9576788602501,-57.6808245213009
NA,NA,NA,NA,"cca1","yer168c","ORF","521029-522669","-","V","yer168c",43.9990687129284,-61.3289225540165
NA,NA,NA,NA,"cdc36","ydl165w","ORF","164290-164865","+","IV","ydl165w",44.0205069633311,-30.6611700988418
NA,NA,NA,NA,"tim54","yjl054w","ORF","334265-335701","+","X","yjl054w",44.1153366838508,-51.5916980929483
"ipk1",0,1,0,"ipk1","ydr315c","ORF","1092741-1093586","-","IV","ydr315c",44.1470402458127,-49.002457330099
NA,NA,NA,NA,"emc5","yil027c","ORF","303679-304104","-","IX","yil027c",44.2656176638473,-81.4827332590349
NA,NA,NA,NA,"yfr032c-b","yfr032c-b","ORF","223710-223973","-","VI","yfr032c-b",44.4408128176236,-73.7034205579914
NA,NA,NA,NA,"gda1","yel042w","ORF","73771-75327","+","V","yel042w",44.4519077293049,-73.1998754171501
NA,NA,NA,NA,"cks1","ybr135w","ORF","504854-505306","+","II","ybr135w",44.5052629428007,-39.9682556940784
NA,NA,NA,NA,"cue1","ymr264w","ORF","795805-796416","+","XIII","ymr264w",44.6833279041072,-14.8311139019251
"atg5",0,0,1,"atg5","ypl149w","ORF","271310-272194","+","XVI","ypl149w",44.8225874680672,-48.5370546466155
NA,NA,NA,NA,"atg38","ylr211c","ORF","563792-564531","-","XII","ylr211c",44.8366804777325,-19.1157169254113
NA,NA,NA,NA,"fet5","yfl041w","ORF","49139-51007","+","VI","yfl041w",44.9175821165674,-34.9083268433631
NA,NA,NA,NA,"lpl1","yor059c","ORF","438906-440258","-","XV","yor059c",45.1031322577678,-28.0362853440828
"dcw1",0,1,0,"dcw1","ykl046c","ORF","351275-352624","-","XI","ykl046c",45.1041456318342,-33.327836230156
NA,NA,NA,NA,"ynr042w","ynr042w","ORF","701238-701666","+","XIV","ynr042w",45.1124959658847,-35.1566814620158
NA,NA,NA,NA,"pex7","ydr142c","ORF","740473-741600","-","IV","ydr142c",45.1814039798958,-30.3939197751417
NA,NA,NA,NA,"ccl1","ypr025c","ORF","613377-614558","-","XVI","ypr025c",45.2853997693586,-5.61875465183107
NA,NA,NA,NA,"fau1","yer183c","ORF","553334-553969","-","V","yer183c",45.4089857569389,-41.7562148890071
NA,NA,NA,NA,"cct5","yjr064w","ORF","555914-557602","+","X","yjr064w",45.5063602125139,-113.228080870274
"pcp1",0,0,1,"pcp1","ygr101w","ORF","693363-694403","+","VII","ygr101w",45.5621122581324,-19.9286794181018
"rps11a",0,1,0,"rps11a","ydr025w","ORF","491515-492324","+","IV","ydr025w",45.7656881006766,-865.687092250969
NA,NA,NA,NA,"rrp45","ydr280w","ORF","1020747-1021664","+","IV","ydr280w",45.7744438687024,-89.2843680179558
NA,NA,NA,NA,"mtc3","ygl226w","ORF","73340-73711","+","VII","ygl226w",45.8141094174103,-27.6395048793723
NA,NA,NA,NA,"ydl121c","ydl121c","ORF","245133-245582","-","IV","ydl121c",45.8217366139634,-68.3453557152522
NA,NA,NA,NA,"nat5","yor253w","ORF","804377-804907","+","XV","yor253w",45.9653983177064,-78.7419807954043
NA,NA,NA,NA,"yol036w","yol036w","ORF","256745-259030","+","XV","yol036w",45.9931903007698,-33.8796934820479
NA,NA,NA,NA,"swm1","ydr260c","ORF","976717-977229","-","IV","ydr260c",46.0734897190326,-27.1229052122121
NA,NA,NA,NA,"ypr170w-b","ypr170w-b","ORF","883239-883595","+","XVI","ypr170w-b",46.0906533915267,46.8194957037035
"idp1",0,1,0,"idp1","ydl066w","ORF","334835-336121","+","IV","ydl066w",46.1256496031524,-53.8815431612401
NA,NA,NA,NA,"pan5","yhr063c","ORF","224030-225169","-","VIII","yhr063c",46.1932283678972,-63.3785935306358
NA,NA,NA,NA,"erv15","ybr210w","ORF","645550-645978","+","II","ybr210w",46.2254034631871,-54.2924791054947
NA,NA,NA,NA,"sno1","ymr095c","ORF","457285-457959","-","XIII","ymr095c",46.3484395837677,-41.8066604449114
NA,NA,NA,NA,"prs2","yer099c","ORF","358105-359061","-","V","yer099c",46.396393529969,-36.4961561174975
NA,NA,NA,NA,"ubs1","ybr165w","ORF","568852-569685","+","II","ybr165w",46.4829760249068,-44.9937327838517
NA,NA,NA,NA,"dld2","ydl178w","ORF","139522-141114","+","IV","ydl178w",46.5441152881636,-42.4777947152354
"pho2",0,0,1,"pho2","ydl106c","ORF","270222-271901","-","IV","ydl106c",46.6091132309069,-30.1169043161718
NA,NA,NA,NA,"spc19","ydr201w","ORF","856317-856814","+","IV","ydr201w",46.6205459067011,-23.6695247943451
NA,NA,NA,NA,"cwc27","ypl064c","ORF","428711-429616","-","XVI","ypl064c",46.6558513591674,-56.4569567018802
NA,NA,NA,NA,"yer137c","yer137c","ORF","441373-441819","-","V","yer137c",46.7275357928146,-62.3361223364649
NA,NA,NA,NA,"ymr155w","ymr155w","ORF","568551-570194","+","XIII","ymr155w",46.7420561227279,-29.6873957445855
NA,NA,NA,NA,"asg7","yjl170c","ORF","101150-101779","-","X","yjl170c",46.9013177919718,-32.2746199518238
NA,NA,NA,NA,"rpn6","ydl097c","ORF","285391-286695","-","IV","ydl097c",46.9269147178853,-2.9382499187288
NA,NA,NA,NA,"pho80","yol001w","ORF","325249-326130","+","XV","yol001w",46.9387007383724,-46.2917274319335
NA,NA,NA,NA,"lys5","ygl154c","ORF","215278-216096","-","VII","ygl154c",46.9495968757926,-19.0720441044475
NA,NA,NA,NA,"arc19","ykl013c","ORF","417508-418023","-","XI","ykl013c",47.1308345960446,76.9461204912414
NA,NA,NA,NA,"ino2","ydr123c","ORF","698554-699468","-","IV","ydr123c",47.2069220608726,-59.0642232189249
NA,NA,NA,NA,"prp45","yal032c","ORF","83335-84474","-","I","yal032c",47.2160326875637,-33.5691130209321
"cup9",0,0,1,"cup9","ypl177c","ORF","213042-213962","-","XVI","ypl177c",47.225836019659,-20.4390395494399
NA,NA,NA,NA,"avt4","ynl101w","ORF","434999-437140","+","XIV","ynl101w",47.2261239236351,-55.8533562396242
NA,NA,NA,NA,"mtq2","ydr140w","ORF","734138-734803","+","IV","ydr140w",47.2359208063928,-45.802915635159
NA,NA,NA,NA,"ptc3","ybl056w","ORF","113762-115168","+","II","ybl056w",47.3102970187759,31.5510136906541
NA,NA,NA,NA,"hlj1","ymr161w","ORF","577718-578392","+","XIII","ymr161w",47.3390740038435,-46.2542132011072
NA,NA,NA,NA,"clc1","ygr167w","ORF","832456-833157","+","VII","ygr167w",47.3624296060338,101.461976013807
NA,NA,NA,NA,"yel018c-a","yel018c-a","ORF","121455-121988","-","V","yel018c-a",47.5599913292778,-52.6719362879623
"rxt2",0,0,1,"rxt2","ybr095c","ORF","434406-435698","-","II","ybr095c",47.5771636988338,-52.6647571720076
NA,NA,NA,NA,"ymr172c-a","ymr172c-a","ORF","607828-608211","-","XIII","ymr172c-a",47.7418043562395,-29.8839447726642
NA,NA,NA,NA,"tum1","yor251c","ORF","802550-803464","-","XV","yor251c",47.8538031595318,-48.9962931774652
NA,NA,NA,NA,"mnp1","ygl068w","ORF","375087-375671","+","VII","ygl068w",47.884096066826,-72.9826252177155
NA,NA,NA,NA,"rrn10","ybl025w","ORF","171481-171918","+","II","ybl025w",47.8926213121494,-77.158375323708
NA,NA,NA,NA,"ibd2","ynl164c","ORF","325265-326320","-","XIV","ynl164c",47.9145302037316,-64.1533522409547
NA,NA,NA,NA,"mhf2","ydl160c-a","ORF","169366-169608","-","IV","ydl160c-a",47.9531404168174,-25.0748879800757
NA,NA,NA,NA,"nrg2","ybr066c","ORF","370037-370699","-","II","ybr066c",48.0637035016947,-14.4989481081663
"pcl7",0,1,0,"pcl7","yil050w","ORF","258913-259770","+","IX","yil050w",48.2584017519254,-7.77020040737567
NA,NA,NA,NA,"eaf7","ynl136w","ORF","370368-371645","+","XIV","ynl136w",48.352947010744,-56.6844881668645
NA,NA,NA,NA,"pcc1","ykr095w-a","ORF","625864-626205","+","XI","ykr095w-a",48.4812414477767,-28.4876415952201
NA,NA,NA,NA,"avt2","yel064c","ORF","29797-31239","-","V","yel064c",48.5220415157243,-46.1428398913724
"paa1",0,0,1,"paa1","ydr071c","ORF","588827-589402","-","IV","ydr071c",48.6432620786149,-21.8280575931962
NA,NA,NA,NA,"oca2","ynl056w","ORF","517249-517842","+","XIV","ynl056w",48.7574258022324,-6.86932987861801
NA,NA,NA,NA,"mgm101","yjr144w","ORF","700882-701691","+","X","yjr144w",48.7768521007715,-78.9876218722702
NA,NA,NA,NA,"ydr274c","ydr274c","ORF","1011589-1011960","-","IV","ydr274c",48.7940406834649,-14.6251550817643
NA,NA,NA,NA,"ycr090c","ycr090c","ORF","272315-272863","-","III","ycr090c",48.8925404979752,-68.6893941901602
NA,NA,NA,NA,"mrps28","ydr337w","ORF","1146319-1147179","+","IV","ydr337w",49.1352802758062,-41.5957321846235
"alg5",0,1,0,"alg5","ypl227c","ORF","120163-121167","-","XVI","ypl227c",49.2389659953903,-68.3359299835543
NA,NA,NA,NA,"ynr061c","ynr061c","ORF","742881-743540","-","XIV","ynr061c",49.347160224622,-63.1521004134249
"mrpl9",0,0,1,"mrpl9","ygr220c","ORF","936074-936883","-","VII","ygr220c",49.4705622273133,-45.0504965405118
NA,NA,NA,NA,"osm1","yjr051w","ORF","529861-531366","+","X","yjr051w",49.5854037902521,-37.8890925715513
NA,NA,NA,NA,"ggc1","ydl198c","ORF","103649-104551","-","IV","ydl198c",49.5910873448104,-31.4614701475565
NA,NA,NA,NA,"cse2","ynr010w","ORF","643744-644193","+","XIV","ynr010w",49.6043299930297,-59.0007494864542
NA,NA,NA,NA,"sas2","ymr127c","ORF","522329-523345","-","XIII","ymr127c",49.6456360389285,-65.5495342383751
NA,NA,NA,NA,"irc22","yel001c","ORF","150301-150978","-","V","yel001c",49.7399284680729,-76.9328020086556
NA,NA,NA,NA,"erd2","ybl040c","ORF","142112-142868","-","II","ybl040c",49.7764677069439,-19.4656441940065
NA,NA,NA,NA,"ylr050c","ylr050c","ORF","245587-246072","-","XII","ylr050c",49.8226856470557,-43.2153604585751
NA,NA,NA,NA,"cbp3","ypl215w","ORF","147416-148423","+","XVI","ypl215w",49.8821866041262,-29.551970594055
NA,NA,NA,NA,"cue4","yml101c","ORF","69735-70088","-","XIII","yml101c",49.9933357144653,-33.5970371573383
NA,NA,NA,NA,"ear1","ymr171c","ORF","603868-605520","-","XIII","ymr171c",50.008016536292,-7.8943042471657
NA,NA,NA,NA,"str2","yjr130c","ORF","665218-667137","-","X","yjr130c",50.04855987015,-26.8730459692276
NA,NA,NA,NA,"ste50","ycl032w","ORF","63441-64481","+","III","ycl032w",50.0727964118025,-28.6543903803435
NA,NA,NA,NA,"gat2","ymr136w","ORF","541199-542881","+","XIII","ymr136w",50.135007539544,-30.9614628950862
NA,NA,NA,NA,"pnp1","ylr209c","ORF","560797-561732","-","XII","ylr209c",50.2948312580159,-36.2048883805383
NA,NA,NA,NA,"yhl044w","yhl044w","ORF","13565-14272","+","VIII","yhl044w",50.323958269893,-36.7082100412157
NA,NA,NA,NA,"mag2","ylr427w","ORF","988428-990440","+","XII","ylr427w",50.3264914798343,-40.6370249061117
NA,NA,NA,NA,"sub2","ydl084w","ORF","305237-306577","+","IV","ydl084w",50.4143523945272,-81.5328458867056
NA,NA,NA,NA,"nce101","yjl205c","ORF","50139-50443","-","X","yjl205c",50.4875101835458,34.3785118386441
NA,NA,NA,NA,"ydr094w","ydr094w","ORF","635840-636175","+","IV","ydr094w",50.8011285812661,-67.8063527163851
NA,NA,NA,NA,"mte1","ygr042w","ORF","579476-580291","+","VII","ygr042w",51.1114017539389,-26.0843674694855
NA,NA,NA,NA,"pex3","ydr329c","ORF","1126270-1127595","-","IV","ydr329c",51.1714771088711,-1.25041219762841
NA,NA,NA,NA,"taf13","yml098w","ORF","77267-77770","+","XIII","yml098w",51.2085331547895,-61.2983478570575
"csg2",0,0,1,"csg2","ybr036c","ORF","309081-310313","-","II","ybr036c",51.3342790200116,10.7950126790997
NA,NA,NA,NA,"gon7","yjl184w","ORF","83448-83819","+","X","yjl184w",51.4813498479973,-42.2070115462797
NA,NA,NA,NA,"ygl069c","ygl069c","ORF","375050-375514","-","VII","ygl069c",51.547618666909,-78.6229628236996
"sch9",0,1,0,"sch9","yhr205w","ORF","509363-511837","+","VIII","yhr205w",52.0630912864615,-29.1944514825798
NA,NA,NA,NA,"frt1","yor324c","ORF","923232-925040","-","XV","yor324c",52.1229707705804,-42.9136213258492
NA,NA,NA,NA,"ntr2","ykr022c","ORF","482171-483139","-","XI","ykr022c",52.199955169306,-38.5391776325539
NA,NA,NA,NA,"ykl018c-a","ykl018c-a","ORF","403580-403879","-","XI","ykl018c-a",52.2503306399019,-45.3479577238891
NA,NA,NA,NA,"ptc7","yhr076w","ORF","251101-252225","+","VIII","yhr076w",52.5462755741745,-42.9123712173668
"yor1",0.5,0,0.5,"yor1","ygr281w","ORF","1052824-1057257","+","VII","ygr281w",52.5615192722746,-37.7161480539474
NA,NA,NA,NA,"pos5","ypl188w","ORF","191406-192650","+","XVI","ypl188w",52.6357440192956,-43.5106907767049
NA,NA,NA,NA,"scs22","ybl091c-a","ORF","46565-47180","-","II","ybl091c-a",52.6968010964826,-14.7928194277732
NA,NA,NA,NA,"yor050c","yor050c","ORF","424270-424617","-","XV","yor050c",52.7095443775253,-38.4895751417466
"atg12",0,0,1,"atg12","ybr217w","ORF","657832-658392","+","II","ybr217w",52.7935953034434,-47.6333831324098
NA,NA,NA,NA,"aim45","ypr004c","ORF","564007-565041","-","XVI","ypr004c",52.7994622937896,-38.5865440069507
NA,NA,NA,NA,"jip3","ylr331c","ORF","790669-791046","-","XII","ylr331c",52.8678588488775,-25.8489060990531
NA,NA,NA,NA,"ykl071w","ykl071w","ORF","305114-305884","+","XI","ykl071w",52.9298646850723,-53.6596058418396
NA,NA,NA,NA,"hap5","yor358w","ORF","1010161-1010889","+","XV","yor358w",53.0035605516847,-27.5000732010575
NA,NA,NA,NA,"phs1","yjl097w","ORF","245591-246244","+","X","yjl097w",53.0207484941024,-45.9951748964954
NA,NA,NA,NA,"trm112","ynr046w","ORF","707788-708195","+","XIV","ynr046w",53.1274025976565,-151.112289329051
"bap2",0,0,1,"bap2","ybr068c","ORF","373861-375690","-","II","ybr068c",53.1454010240737,-43.0134966149903
NA,NA,NA,NA,"ist1","ynl265c","ORF","144280-145281","-","XIV","ynl265c",53.1588384826191,-23.4278516354576
"rtg2",0,0,1,"rtg2","ygl252c","ORF","25718-27484","-","VII","ygl252c",53.1722170203359,-25.144729714539
NA,NA,NA,NA,"brr6","ygl247w","ORF","36933-37526","+","VII","ygl247w",53.1799640014752,-44.6936342239293
"coa6",0,0,1,"coa6","ymr244c-a","ORF","758517-758831","-","XIII","ymr244c-a",53.1919043131196,-23.9505655346937
NA,NA,NA,NA,"ygl117w","ygl117w","ORF","288512-289309","+","VII","ygl117w",53.2442364052562,-25.5399869045335
NA,NA,NA,NA,"cwc24","ylr323c","ORF","778173-778952","-","XII","ylr323c",53.3326861528375,-54.0629327017167
NA,NA,NA,NA,"prp21","yjl203w","ORF","53341-54183","+","X","yjl203w",53.5274870066173,-55.6995851123365
NA,NA,NA,NA,"ybl071c-b","ybl071c-b","ORF","89458-89556","-","II","ybl071c-b",53.7059604078433,-53.6858560289887
NA,NA,NA,NA,"ctk3","yml112w","ORF","45063-45953","+","XIII","yml112w",53.7184035978491,-80.4858792425267
NA,NA,NA,NA,"snf8","ypl002c","ORF","553627-554328","-","XVI","ypl002c",53.7449921932872,-33.5755092204223
NA,NA,NA,NA,"tir1","yer011w","ORF","175248-176012","+","V","yer011w",53.7479454716038,-73.9594631026016
NA,NA,NA,NA,"ynl179c","ynl179c","ORF","300666-301103","-","XIV","ynl179c",53.7608442613602,-56.3831248773516
NA,NA,NA,NA,"mim2","ylr099w-a","ORF","341325-341588","+","XII","ylr099w-a",53.8307816361717,-6.05353049169044
NA,NA,NA,NA,"ygl152c","ygl152c","ORF","216692-217369","-","VII","ygl152c",53.8661252501331,-41.1603935163847
NA,NA,NA,NA,"sgf11","ypl047w","ORF","465962-466261","+","XVI","ypl047w",54.1281117092238,-100.91111486994
NA,NA,NA,NA,"leo1","yor123c","ORF","553176-554570","-","XV","yor123c",54.1346690575745,-79.1983856445807
NA,NA,NA,NA,"atx1","ynl259c","ORF","157644-157865","-","XIV","ynl259c",54.1418376160965,-0.464590801702021
NA,NA,NA,NA,"arc18","ylr370c","ORF","861718-862254","-","XII","ylr370c",54.1464036696538,42.6439905304571
"ydr248c",0,1,0,"ydr248c","ydr248c","ORF","957758-958339","-","IV","ydr248c",54.2498956193278,8.71986183818638
NA,NA,NA,NA,"hub1","ynr032c-a","ORF","687243-687464","-","XIV","ynr032c-a",54.344056893831,-34.6514003983247
"get2",0,0,1,"get2","yer083c","ORF","326174-327031","-","V","yer083c",54.6898252178841,-45.6986408240192
NA,NA,NA,NA,"pex11","yol147c","ORF","47933-48643","-","XV","yol147c",54.6900815553,10.607393931463
"vps24",0,0,1,"vps24","ykl041w","ORF","360143-360817","+","XI","ykl041w",54.9365671584838,-33.8783072760453
NA,NA,NA,NA,"tim22","ydl217c","ORF","67983-68606","-","IV","ydl217c",54.9900125231241,-58.6166596931558
NA,NA,NA,NA,"yjr146w","yjr146w","ORF","703885-704238","+","X","yjr146w",55.2517453140846,-38.0039058137557
"oma1",0,0,1,"oma1","ykr087c","ORF","603195-604232","-","XI","ykr087c",55.7821684660061,-61.7003344155868
NA,NA,NA,NA,"bud32","ygr262c","ORF","1016974-1017759","-","VII","ygr262c",55.8179281002457,-73.4029282219
"mrpl11",0,0,1,"mrpl11","ydl202w","ORF","98475-99224","+","IV","ydl202w",55.8447351028107,-66.0449942572101
NA,NA,NA,NA,"put2","yhr037w","ORF","181977-183704","+","VIII","yhr037w",55.9116845738907,-25.5176344611394
NA,NA,NA,NA,"bet3","ykr068c","ORF","570328-570909","-","XI","ykr068c",56.1715156859908,-37.0167848473755
"rps10b",0,1,0,"rps10b","ymr230w","ORF","732414-733141","+","XIII","ymr230w",56.2402110692381,-330.302405457245
NA,NA,NA,NA,"ybl029w","ybl029w","ORF","166134-167264","+","II","ybl029w",56.2653310216397,-34.9171940538652
NA,NA,NA,NA,"dga1","yor245c","ORF","794076-795332","-","XV","yor245c",56.3769735339499,-26.0688065841943
NA,NA,NA,NA,"ykr033c","ykr033c","ORF","506879-507304","-","XI","ykr033c",56.4718300823263,-34.1186707688512
NA,NA,NA,NA,"erg4","ygl012w","ORF","472855-474276","+","VII","ygl012w",56.5381956754984,-21.6475048915104
NA,NA,NA,NA,"ylr118c","ylr118c","ORF","384725-385408","-","XII","ylr118c",56.8552341333967,-13.1230857305282
NA,NA,NA,NA,"ssl2","yil143c","ORF","80510-83041","-","IX","yil143c",57.0028201674919,-65.0032344938477
NA,NA,NA,NA,"pop8","ybl018c","ORF","185998-186474","-","II","ybl018c",57.0050084122669,-78.3275707358285
NA,NA,NA,NA,"pap1","ykr002w","ORF","443232-444938","+","XI","ykr002w",57.4016358437292,-43.5430194781279
NA,NA,NA,NA,"yfr006w","yfr006w","ORF","156145-157752","+","VI","yfr006w",57.7117009352553,-66.0486447584323
NA,NA,NA,NA,"fra2","ygl220w","ORF","82374-82736","+","VII","ygl220w",57.7757092324861,10.3266376624122
"top1",0,0,1,"top1","yol006c","ORF","313078-315387","-","XV","yol006c",57.8087257945095,-75.9374943053066
NA,NA,NA,NA,"elc1","ypl046c","ORF","466644-466943","-","XVI","ypl046c",57.8677142738558,-69.6538291041372
NA,NA,NA,NA,"mrx8","ydr336w","ORF","1145092-1146036","+","IV","ydr336w",57.9772368834762,-55.2849504676193
NA,NA,NA,NA,"ypr059c","ypr059c","ORF","674314-674700","-","XVI","ypr059c",58.0406965809723,-69.9405268000494
NA,NA,NA,NA,"rsa1","ypl193w","ORF","181403-182548","+","XVI","ypl193w",58.2365761780083,-58.3767871681674
NA,NA,NA,NA,"smb1","yer029c","ORF","212587-213177","-","V","yer029c",58.2678871050578,-138.681995437528
NA,NA,NA,NA,"gbp2","ycl011c","ORF","102075-103358","-","III","ycl011c",58.3733855079454,-59.8907036977096
NA,NA,NA,NA,"gir2","ydr152w","ORF","765706-766503","+","IV","ydr152w",58.3996424097478,-142.119507729735
NA,NA,NA,NA,"htl1","ycr020w-b","ORF","155320-155556","+","III","ycr020w-b",58.4570697861277,-59.6491418097552
NA,NA,NA,NA,"snu23","ydl098c","ORF","284581-285165","-","IV","ydl098c",58.4597798381992,-68.0980285419555
